Brand,Model,Power Rating (W),Max DC Voltage (V),Max AC Output (W),Efficiency
SMA,Sunny Boy 5.0-US,5000,600,5000,97.0
Huawei,Sun2000-6KTL,6000,1000,6000,98.6
Fronius,Primo 5.0-1,5000,600,5000,96.8
Enphase,IQ8PLUS,300,60,290,97.6
SolarEdge,SE5000H-US,5000,480,5000,99.0
